iter	Passed	Remaining
731	10001	3661
732	10012	3647
733	10025	3633
734	10039	3619
735	10053	3606
736	10067	3592
737	10080	3578
738	10093	3564
739	10107	3551
740	10122	3538
741	10136	3524
742	10147	3510
743	10160	3496
744	10174	3482
745	10187	3468
746	10200	3454
747	10214	3441
748	10227	3427
749	10240	3413
750	10258	3401
751	10272	3387
752	10287	3374
753	10300	3360
754	10315	3347
755	10328	3333
756	10342	3319
757	10355	3306
758	10369	3292
759	10383	3278
760	10396	3265
761	10412	3252
762	10426	3238
763	10441	3225
764	10454	3211
765	10467	3197
766	10482	3184
767	10496	3170
768	10511	3157
769	10524	3143
770	10541	3131
771	10554	3117
772	10567	3103
773	10580	3089
774	10595	3076
775	10608	3062
776	10622	3048
777	10636	3035
778	10648	3021
779	10662	3007
780	10675	2993
781	10688	2979
782	10703	2966
783	10717	2952
784	10731	2939
785	10745	2925
786	10759	2912
787	10774	2898
788	10786	2884
789	10800	2871
790	10814	2857
791	10829	2844
792	10843	2830
793	10856	2816
794	10870	2803
795	10883	2789
796	10898	2775
797	10912	2762
798	10925	2748
799	10939	2734
800	10953	2721
801	10966	2707
802	10981	2694
803	10994	2680
804	11007	2666
805	11021	2652
806	11035	2639
807	11047	2625
808	11060	2611
809	11072	2597
810	11088	2584
811	11100	2570
812	11113	2556
813	11125	2542
814	11140	2528
815	11152	2514
816	11165	2500
817	11179	2487
818	11192	2473
819	11205	2459
820	11218	2446
821	11232	2432
822	11244	2418
823	11256	2404
824	11269	2390
825	11281	2376
826	11295	2362
827	11309	2349
828	11321	2335
829	11333	2321
830	11346	2307
831	11359	2293
832	11373	2280
833	11386	2266
834	11402	2253
835	11416	2239
836	11429	2225
837	11445	2212
838	11463	2199
839	11476	2185
840	11491	2172
841	11506	2159
842	11518	2145
843	11532	2131
844	11544	2117
845	11558	2104
846	11573	2090
847	11590	2077
848	11602	2063
849	11617	2050
850	11630	2036
851	11646	2023
852	11658	2009
853	11670	1995
854	11684	1981
855	11697	1967
856	11710	1953
857	11724	1940
858	11737	1926
859	11750	1912
860	11763	1899
861	11776	1885
862	11789	1871
863	11803	1857
864	11816	1844
865	11829	1830
866	11844	1817
867	11857	1803
868	11871	1789
869	11885	1775
870	11898	1762
871	11916	1749
872	11930	1735
873	11943	1721
874	11957	1708
875	11970	1694
876	11985	1680
877	11999	1667
878	12012	1653
879	12025	1639
880	12039	1626
881	12051	1612
882	12064	1598
883	12077	1584
884	12090	1571
885	12104	1557
886	12118	1543
887	12130	1529
888	12144	1516
889	12156	1502
890	12169	1488
891	12182	1474
892	12194	1461
893	12208	1447
894	12220	1433
895	12234	1420
896	12247	1406
897	12261	1392
898	12274	1379
899	12286	1365
900	12300	1351
901	12314	1337
902	12326	1324
903	12342	1310
904	12354	1296
905	12366	1283
906	12383	1269
907	12397	1256
908	12411	1242
909	12426	1228
910	12439	1215
911	12453	1201
912	12471	1188
913	12484	1174
914	12497	1160
915	12511	1147
916	12525	1133
917	12538	1120
918	12551	1106
919	12566	1092
920	12578	1078
921	12592	1065
922	12605	1051
923	12619	1037
924	12633	1024
925	12646	1010
926	12661	997
927	12674	983
928	12688	969
929	12701	956
930	12714	942
931	12728	928
932	12741	915
933	12755	901
934	12768	887
935	12781	873
936	12793	860
937	12807	846
938	12820	832
939	12833	819
940	12845	805
941	12859	791
942	12873	778
943	12888	764
944	12902	750
945	12915	737
946	12929	723
947	12942	709
948	12956	696
949	12968	682
950	12982	668
951	12995	655
952	13013	641
953	13028	628
954	13041	614
955	13055	600
956	13069	587
957	13083	573
958	13098	560
959	13112	546
960	13125	532
961	13138	518
962	13152	505
963	13166	491
964	13180	478
965	13193	464
966	13207	450
967	13220	437
968	13233	423
969	13247	409
970	13262	396
971	13275	382
972	13287	368
973	13300	355
974	13313	341
975	13324	327
976	13337	313
977	13352	300
978	13367	286
979	13381	273
980	13395	259
981	13409	245
982	13423	232
983	13437	218
984	13451	204
985	13464	191
986	13478	177
987	13492	163
988	13507	150
989	13521	136
990	13534	122
991	13549	109
992	13562	95
993	13576	81
994	13587	68
995	13600	54
996	13613	40
997	13624	27
998	13637	13
999	13651	0
